text,label
A service fee will be added at checkout.,hidden_fees
Cotton shirt available in three sizes.,none
Handling fees are not included in the displayed price. Offer available on this page.,hidden_fees
Handling fees are not included in the displayed price. Offer available on this page.,hidden_fees
Limited quantity available. This message appears near the purchase option.,scarcity
Act now before this deal expires tonight.,fake_urgency
Act now before this deal expires tonight. Please order online.,fake_urgency
Save 60% from the listed price.,misleading_discount
Additional charges may apply at checkout. Offer available on this page.,hidden_fees
Only 2 left in stock. This message appears near the purchase option.,scarcity
Order tracking becomes available after shipment.,none
Returns are accepted according to the store return policy.,none
Shipping information is provided before completing the order.,none
"Compare at $250, our price is $129. Please order online.",misleading_discount
Only 2 left in stock. This message appears near the purchase option.,scarcity
A processing fee is calculated at checkout. This message appears near the purchase option.,hidden_fees
Save 60% from the listed price. Check the details before purchasing.,misleading_discount
This item is currently available for purchase.,none
Delivery estimates are shown for your selected address.,none
Handling fees are not included in the displayed price. This message appears near the purchase option.,hidden_fees
Last chance: sale ends today.,fake_urgency
A recurring subscription begins after the free trial.,forced_continuity
Size information is provided in the size guide.,none
Start your free trial and it will automatically renew. Check the details before purchasing.,forced_continuity
Act now before this deal expires tonight. Please order online.,fake_urgency
"Compare at $250, our price is $129. Offer available on this page.",misleading_discount
"Was $199, now only $99. Check the details before purchasing.",misleading_discount
Your subscription renews automatically after the trial.,forced_continuity
Start your free trial and it will automatically renew.,forced_continuity
Low stock: just 4 available. Please order online.,scarcity
A recurring subscription begins after the free trial. Offer available on this page.,forced_continuity
Additional charges may apply at checkout. Offer available on this page.,hidden_fees
Choose a color and size before adding to cart.,none
Only 15 minutes left to claim this price. Check the details before purchasing.,fake_urgency
"Was $199, now only $99. Please order online.",misleading_discount
Limited quantity available. Offer available on this page.,scarcity
Last chance: sale ends today.,fake_urgency
Only 15 minutes left to claim this price. Check the details before purchasing.,fake_urgency
Start your free trial and it will automatically renew. Offer available on this page.,forced_continuity
"Compare at $250, our price is $129. Please order online.",misleading_discount
Product dimensions are listed below.,none
Your subscription renews automatically after the trial. Check the details before purchasing.,forced_continuity
Free trial converts to a paid subscription automatically. This message appears near the purchase option.,forced_continuity
A recurring subscription begins after the free trial.,forced_continuity
"Was $199, now only $99. Offer available on this page.",misleading_discount
Start your free trial and it will automatically renew. Please order online.,forced_continuity
This item is currently available for purchase.,none
Handling fees are not included in the displayed price. Check the details before purchasing.,hidden_fees
Free trial converts to a paid subscription automatically. Check the details before purchasing.,forced_continuity
Choose a color and size before adding to cart.,none
Only 2 left in stock. Please order online.,scarcity
Delivery estimates are shown for your selected address.,none
Last chance: sale ends today. Check the details before purchasing.,fake_urgency
Cotton shirt available in three sizes.,none
50% off the original price today. Offer available on this page.,misleading_discount
Your subscription renews automatically after the trial. Offer available on this page.,forced_continuity
Product images show the item from several angles.,none
Handling fees are not included in the displayed price.,hidden_fees
Only 15 minutes left to claim this price.,fake_urgency
Choose a color and size before adding to cart.,none
Low stock: just 4 available.,scarcity
Free standard shipping is available for orders over the stated threshold.,none
Only 2 left in stock. Check the details before purchasing.,scarcity
Only 3 items remaining. Check the details before purchasing.,scarcity
Only 15 minutes left to claim this price. Please order online.,fake_urgency
Product images show the item from several angles.,none
Limited quantity available. Please order online.,scarcity
Act now before this deal expires tonight. This message appears near the purchase option.,fake_urgency
Customer support is available through the help center.,none
Product dimensions are listed below.,none
Only 3 items remaining. Please order online.,scarcity
Low stock: just 4 available. Check the details before purchasing.,scarcity
"Hurry, this offer ends in 10 minutes. Offer available on this page.",fake_urgency
Returns are accepted according to the store return policy.,none
Only 2 left in stock. Offer available on this page.,scarcity
This item is currently available for purchase.,none
Product specifications are provided by the seller.,none
Low stock: just 4 available. This message appears near the purchase option.,scarcity
Handling fees are not included in the displayed price.,hidden_fees
A recurring subscription begins after the free trial. Check the details before purchasing.,forced_continuity
Act now before this deal expires tonight. Check the details before purchasing.,fake_urgency
Only 15 minutes left to claim this price. Please order online.,fake_urgency
"Was $199, now only $99. This message appears near the purchase option.",misleading_discount
Limited quantity available.,scarcity
Select quantity using the quantity control.,none
Start your free trial and it will automatically renew. Please order online.,forced_continuity
A processing fee is calculated at checkout. Offer available on this page.,hidden_fees
Free trial converts to a paid subscription automatically. Please order online.,forced_continuity
A service fee will be added at checkout. Offer available on this page.,hidden_fees
"Was $199, now only $99. Check the details before purchasing.",misleading_discount
Payment methods are listed during checkout.,none
"Hurry, this offer ends in 10 minutes. This message appears near the purchase option.",fake_urgency
Size information is provided in the size guide.,none
This item is currently available for purchase.,none
Low stock: just 4 available. This message appears near the purchase option.,scarcity
Low stock: just 4 available.,scarcity
Product specifications are provided by the seller.,none
Free trial converts to a paid subscription automatically. Offer available on this page.,forced_continuity
Free standard shipping is available for orders over the stated threshold.,none
Your subscription renews automatically after the trial. Please order online.,forced_continuity
Only 3 items remaining. Offer available on this page.,scarcity
Additional charges may apply at checkout. Check the details before purchasing.,hidden_fees
Only 3 items remaining.,scarcity
Start your free trial and it will automatically renew. Offer available on this page.,forced_continuity
The seller provides a warranty for this product.,none
Limited quantity available. Offer available on this page.,scarcity
Save 60% from the listed price. Please order online.,misleading_discount
Last chance: sale ends today. Offer available on this page.,fake_urgency
Cotton shirt available in three sizes.,none
"Hurry, this offer ends in 10 minutes. Please order online.",fake_urgency
Customer support is available through the help center.,none
Start your free trial and it will automatically renew.,forced_continuity
Customer reviews and ratings are shown on this page.,none
Limited quantity available. Check the details before purchasing.,scarcity
Free trial converts to a paid subscription automatically. Check the details before purchasing.,forced_continuity
Your subscription renews automatically after the trial. Check the details before purchasing.,forced_continuity
Your subscription renews automatically after the trial. This message appears near the purchase option.,forced_continuity
Only 3 items remaining. This message appears near the purchase option.,scarcity
"Compare at $250, our price is $129. Check the details before purchasing.",misleading_discount
Product specifications are provided by the seller.,none
Product dimensions are listed below.,none
A processing fee is calculated at checkout. Check the details before purchasing.,hidden_fees
A service fee will be added at checkout.,hidden_fees
"Hurry, this offer ends in 10 minutes. This message appears near the purchase option.",fake_urgency
Product images show the item from several angles.,none
Only 15 minutes left to claim this price. This message appears near the purchase option.,fake_urgency
Handling fees are not included in the displayed price. This message appears near the purchase option.,hidden_fees
Free trial converts to a paid subscription automatically.,forced_continuity
"Was $199, now only $99. Offer available on this page.",misleading_discount
Shipping information is provided before completing the order.,none
Start your free trial and it will automatically renew. Check the details before purchasing.,forced_continuity
Free trial converts to a paid subscription automatically. Offer available on this page.,forced_continuity
50% off the original price today.,misleading_discount
You can compare available colors before purchasing.,none
A processing fee is calculated at checkout. Offer available on this page.,hidden_fees
Shipping information is provided before completing the order.,none
"Compare at $250, our price is $129.",misleading_discount
Product images show the item from several angles.,none
Only 2 left in stock.,scarcity
Save 60% from the listed price. Please order online.,misleading_discount
Delivery estimates are shown for your selected address.,none
Limited quantity available.,scarcity
Only 15 minutes left to claim this price.,fake_urgency
Your subscription renews automatically after the trial. Please order online.,forced_continuity
The seller provides a warranty for this product.,none
Free trial converts to a paid subscription automatically. Please order online.,forced_continuity
"Was $199, now only $99.",misleading_discount
Free trial converts to a paid subscription automatically. This message appears near the purchase option.,forced_continuity
50% off the original price today. Please order online.,misleading_discount
A processing fee is calculated at checkout.,hidden_fees
A processing fee is calculated at checkout. Please order online.,hidden_fees
50% off the original price today. Check the details before purchasing.,misleading_discount
Additional charges may apply at checkout. This message appears near the purchase option.,hidden_fees
A recurring subscription begins after the free trial. Check the details before purchasing.,forced_continuity
A service fee will be added at checkout. This message appears near the purchase option.,hidden_fees
Order tracking becomes available after shipment.,none
Select quantity using the quantity control.,none
Act now before this deal expires tonight. Offer available on this page.,fake_urgency
Save 60% from the listed price.,misleading_discount
The cart shows the items you selected.,none
"Compare at $250, our price is $129. Check the details before purchasing.",misleading_discount
Your subscription renews automatically after the trial. This message appears near the purchase option.,forced_continuity
"Compare at $250, our price is $129. This message appears near the purchase option.",misleading_discount
Your subscription renews automatically after the trial. Offer available on this page.,forced_continuity
Size information is provided in the size guide.,none
Act now before this deal expires tonight.,fake_urgency
Start your free trial and it will automatically renew. This message appears near the purchase option.,forced_continuity
50% off the original price today.,misleading_discount
Limited quantity available. Check the details before purchasing.,scarcity
A service fee will be added at checkout. Check the details before purchasing.,hidden_fees
Cotton shirt available in three sizes.,none
Select quantity using the quantity control.,none
Low stock: just 4 available. Offer available on this page.,scarcity
Start your free trial and it will automatically renew. This message appears near the purchase option.,forced_continuity
The cart shows the items you selected.,none
Save 60% from the listed price. This message appears near the purchase option.,misleading_discount
Only 3 items remaining. Check the details before purchasing.,scarcity
"Hurry, this offer ends in 10 minutes. Offer available on this page.",fake_urgency
A service fee will be added at checkout. This message appears near the purchase option.,hidden_fees
Last chance: sale ends today. Please order online.,fake_urgency
Only 3 items remaining. Offer available on this page.,scarcity
Additional charges may apply at checkout.,hidden_fees
A recurring subscription begins after the free trial. This message appears near the purchase option.,forced_continuity
Last chance: sale ends today. Please order online.,fake_urgency
Select quantity using the quantity control.,none
Save 60% from the listed price. Offer available on this page.,misleading_discount
Low stock: just 4 available. Please order online.,scarcity
A service fee will be added at checkout. Offer available on this page.,hidden_fees
Customer support is available through the help center.,none
Handling fees are not included in the displayed price. Please order online.,hidden_fees
"Hurry, this offer ends in 10 minutes. Check the details before purchasing.",fake_urgency
Additional charges may apply at checkout.,hidden_fees
Last chance: sale ends today. This message appears near the purchase option.,fake_urgency
Only 15 minutes left to claim this price. Offer available on this page.,fake_urgency
A processing fee is calculated at checkout. This message appears near the purchase option.,hidden_fees
Free trial converts to a paid subscription automatically.,forced_continuity
The product description includes material and care instructions.,none
Save 60% from the listed price. This message appears near the purchase option.,misleading_discount
Last chance: sale ends today. Check the details before purchasing.,fake_urgency
Order tracking becomes available after shipment.,none
A recurring subscription begins after the free trial. Please order online.,forced_continuity
You can compare available colors before purchasing.,none
Additional charges may apply at checkout. Please order online.,hidden_fees
Last chance: sale ends today. This message appears near the purchase option.,fake_urgency
Low stock: just 4 available. Check the details before purchasing.,scarcity
Returns are accepted according to the store return policy.,none
A service fee will be added at checkout. Check the details before purchasing.,hidden_fees
Order tracking becomes available after shipment.,none
Additional charges may apply at checkout. Please order online.,hidden_fees
Act now before this deal expires tonight. This message appears near the purchase option.,fake_urgency
Size information is provided in the size guide.,none
Handling fees are not included in the displayed price. Check the details before purchasing.,hidden_fees
Handling fees are not included in the displayed price. Please order online.,hidden_fees
Save 60% from the listed price. Offer available on this page.,misleading_discount
Last chance: sale ends today. Offer available on this page.,fake_urgency
"Hurry, this offer ends in 10 minutes. Please order online.",fake_urgency
Customer support is available through the help center.,none
"Was $199, now only $99. This message appears near the purchase option.",misleading_discount
"Was $199, now only $99. Please order online.",misleading_discount
Save 60% from the listed price. Check the details before purchasing.,misleading_discount
A processing fee is calculated at checkout. Please order online.,hidden_fees
Only 3 items remaining. This message appears near the purchase option.,scarcity
Only 2 left in stock. Please order online.,scarcity
"Hurry, this offer ends in 10 minutes.",fake_urgency
50% off the original price today. Offer available on this page.,misleading_discount
